instance,customers,run,method,checkpoint,q,BestCost,BKS
6.10.1,6,9,ims,3,3/8,1078.7476708790684,1078.7476708790684
6.10.1,6,9,ims,4,4/8,1078.7476708790684,1078.7476708790684
6.10.1,6,9,ims,5,5/8,1078.7476708790684,1078.7476708790684
6.10.1,6,9,ims,6,6/8,1078.7476708790684,1078.7476708790684
6.10.1,6,9,ims,7,7/8,1078.7476708790684,1078.7476708790684
6.10.1,6,9,ims,8,8/8,1078.7476708790684,1078.7476708790684
6.10.1,6,10,ims,0,0/8,1078.7476708790684,1078.7476708790684
6.10.1,6,10,ims,1,1/8,1078.7476708790684,1078.7476708790684
6.10.1,6,10,ims,2,2/8,1078.7476708790684,1078.7476708790684
6.10.1,6,10,ims,3,3/8,1078.7476708790684,1078.7476708790684
6.10.1,6,10,ims,4,4/8,1078.7476708790684,1078.7476708790684
6.10.1,6,10,ims,5,5/8,1078.7476708790684,1078.7476708790684
6.10.1,6,10,ims,6,6/8,1078.7476708790684,1078.7476708790684
6.10.1,6,10,ims,7,7/8,1078.7476708790684,1078.7476708790684
6.10.1,6,10,ims,8,8/8,1078.7476708790684,1078.7476708790684
6.10.1,6,1,sats,0,0/8,2204.2457430977597,1078.7476708790684
6.10.1,6,1,sats,1,1/8,1078.7476708790684,1078.7476708790684
6.10.1,6,1,sats,2,2/8,1078.7476708790684,1078.7476708790684
6.10.1,6,1,sats,3,3/8,1078.7476708790684,1078.7476708790684
6.10.1,6,1,sats,4,4/8,1078.7476708790684,1078.7476708790684
6.10.1,6,1,sats,5,5/8,1078.7476708790684,1078.7476708790684
6.10.1,6,1,sats,6,6/8,1078.7476708790684,1078.7476708790684
6.10.1,6,1,sats,7,7/8,1078.7476708790684,1078.7476708790684
6.10.1,6,1,sats,8,8/8,1078.7476708790684,1078.7476708790684
6.10.1,6,2,sats,0,0/8,1078.7476708790684,1078.7476708790684
6.10.1,6,2,sats,1,1/8,1078.7476708790684,1078.7476708790684
6.10.1,6,2,sats,2,2/8,1078.7476708790684,1078.7476708790684
6.10.1,6,2,sats,3,3/8,1078.7476708790684,1078.7476708790684
6.10.1,6,2,sats,4,4/8,1078.7476708790684,1078.7476708790684
6.10.1,6,2,sats,5,5/8,1078.7476708790684,1078.7476708790684
6.10.1,6,2,sats,6,6/8,1078.7476708790684,1078.7476708790684
6.10.1,6,2,sats,7,7/8,1078.7476708790684,1078.7476708790684
6.10.1,6,2,sats,8,8/8,1078.7476708790684,1078.7476708790684
6.10.1,6,3,sats,0,0/8,2184.8038178415695,1078.7476708790684
6.10.1,6,3,sats,1,1/8,1078.7476708790684,1078.7476708790684
6.10.1,6,3,sats,2,2/8,1078.7476708790684,1078.7476708790684
6.10.1,6,3,sats,3,3/8,1078.7476708790684,1078.7476708790684
6.10.1,6,3,sats,4,4/8,1078.7476708790684,1078.7476708790684
6.10.1,6,3,sats,5,5/8,1078.7476708790684,1078.7476708790684
6.10.1,6,3,sats,6,6/8,1078.7476708790684,1078.7476708790684
6.10.1,6,3,sats,7,7/8,1078.7476708790684,1078.7476708790684
6.10.1,6,3,sats,8,8/8,1078.7476708790684,1078.7476708790684
6.10.1,6,4,sats,0,0/8,2318.4598542307476,1078.7476708790684
6.10.1,6,4,sats,1,1/8,1078.7476708790684,1078.7476708790684
6.10.1,6,4,sats,2,2/8,1078.7476708790684,1078.7476708790684
6.10.1,6,4,sats,3,3/8,1078.7476708790684,1078.7476708790684
6.10.1,6,4,sats,4,4/8,1078.7476708790684,1078.7476708790684
6.10.1,6,4,sats,5,5/8,1078.7476708790684,1078.7476708790684
6.10.1,6,4,sats,6,6/8,1078.7476708790684,1078.7476708790684
6.10.1,6,4,sats,7,7/8,1078.7476708790684,1078.7476708790684
6.10.1,6,4,sats,8,8/8,1078.7476708790684,1078.7476708790684
6.10.1,6,5,sats,0,0/8,2318.4598542307476,1078.7476708790684
6.10.1,6,5,sats,1,1/8,1078.7476708790684,1078.7476708790684
6.10.1,6,5,sats,2,2/8,1078.7476708790684,1078.7476708790684
6.10.1,6,5,sats,3,3/8,1078.7476708790684,1078.7476708790684
