instance,n,set,Tn,run,seed,bks,ims-final,coop-final,delta_coop,ims-evals,coop-evals
6.20.2,6,held-out,1.0,6,600,4099.787885636016,4099.787885636016,4099.787885636016,0.0,22546481,21202904
6.20.2,6,held-out,1.0,7,700,4099.787885636016,4099.787885636016,4099.787885636016,0.0,22253894,21320000
6.20.2,6,held-out,1.0,8,800,4099.787885636016,4099.787885636016,4099.787885636016,0.0,22457556,22113722
6.20.2,6,held-out,1.0,9,900,4099.787885636016,4099.787885636016,4099.787885636016,0.0,21665343,21375899
6.20.2,6,held-out,1.0,10,1000,4099.787885636016,4099.787885636016,4099.787885636016,0.0,22211296,21227286
6.20.3,6,held-out,1.0,1,100,6233.214544913807,6233.214544913807,6233.214544913807,0.0,25803385,26035326
6.20.3,6,held-out,1.0,2,200,6233.214544913807,6233.214544913807,6233.214544913807,0.0,25844839,25292578
6.20.3,6,held-out,1.0,3,300,6233.214544913807,6233.214544913807,6233.214544913807,0.0,25974014,26126450
6.20.3,6,held-out,1.0,4,400,6233.214544913807,6233.214544913807,6233.214544913807,0.0,25820514,25982930
6.20.3,6,held-out,1.0,5,500,6233.214544913807,6233.214544913807,6233.214544913807,0.0,26082193,26210122
6.20.3,6,held-out,1.0,6,600,6233.214544913807,6233.214544913807,6233.214544913807,0.0,25877388,26180112
6.20.3,6,held-out,1.0,7,700,6233.214544913807,6233.214544913807,6233.214544913807,0.0,26032224,26001767
6.20.3,6,held-out,1.0,8,800,6233.214544913807,6233.214544913807,6233.214544913807,0.0,26192699,25204981
6.20.3,6,held-out,1.0,9,900,6233.214544913807,6233.214544913807,6233.214544913807,0.0,25141529,26188277
6.20.3,6,held-out,1.0,10,1000,6233.214544913807,6233.214544913807,6233.214544913807,0.0,26005993,26154953
6.20.4,6,held-out,1.0,1,100,6174.786067461169,6174.786067461169,6174.786067461169,0.0,25345208,25562439
6.20.4,6,held-out,1.0,2,200,6174.786067461169,6174.786067461169,6174.786067461169,0.0,24798125,25413869
6.20.4,6,held-out,1.0,3,300,6174.786067461169,6174.786067461169,6174.786067461169,0.0,25423125,25452971
6.20.4,6,held-out,1.0,4,400,6174.786067461169,6174.786067461169,6174.786067461169,0.0,25162614,25378845
6.20.4,6,held-out,1.0,5,500,6174.786067461169,6174.786067461169,6174.786067461169,0.0,25334921,24423677
6.20.4,6,held-out,1.0,6,600,6174.786067461169,6174.786067461169,6174.786067461169,0.0,25400420,25340980
6.20.4,6,held-out,1.0,7,700,6174.786067461169,6174.786067461169,6174.786067461169,0.0,25822560,25516161
6.20.4,6,held-out,1.0,8,800,6174.786067461169,6174.786067461169,6174.786067461169,0.0,25123923,25569554
6.20.4,6,held-out,1.0,9,900,6174.786067461169,6174.786067461169,6174.786067461169,0.0,24986993,25484473
6.20.4,6,held-out,1.0,10,1000,6174.786067461169,6174.786067461169,6174.786067461169,0.0,24799544,24428507
6.5.1,6,held-out,1.0,1,100,699.6656534991815,699.6656534991815,699.6656534991815,0.0,20408431,20949602
6.5.1,6,held-out,1.0,2,200,699.6656534991815,699.6656534991815,699.6656534991815,0.0,21019813,20966866
6.5.1,6,held-out,1.0,3,300,699.6656534991815,699.6656534991815,699.6656534991815,0.0,20395989,20839695
6.5.1,6,held-out,1.0,4,400,699.6656534991815,699.6656534991815,699.6656534991815,0.0,20696888,20973149
6.5.1,6,held-out,1.0,5,500,699.6656534991815,699.6656534991815,699.6656534991815,0.0,21267047,20936252
6.5.1,6,held-out,1.0,6,600,699.6656534991815,699.6656534991815,699.6656534991815,0.0,21169072,21019307
6.5.1,6,held-out,1.0,7,700,699.6656534991815,699.6656534991815,699.6656534991815,0.0,21039276,20931199
6.5.1,6,held-out,1.0,8,800,699.6656534991815,699.6656534991815,699.6656534991815,0.0,21230318,20951029
6.5.1,6,held-out,1.0,9,900,699.6656534991815,699.6656534991815,699.6656534991815,0.0,21231432,20988382
6.5.1,6,held-out,1.0,10,1000,699.6656534991815,699.6656534991815,699.6656534991815,0.0,20709374,21004711
6.5.2,6,held-out,1.0,1,100,550.7224677595595,550.7224677595595,550.7224677595595,0.0,25696980,25519656
6.5.2,6,held-out,1.0,2,200,550.7224677595595,550.7224677595595,550.7224677595595,0.0,25830510,25513168
6.5.2,6,held-out,1.0,3,300,550.7224677595595,550.7224677595595,550.7224677595595,0.0,25919184,25431658
6.5.2,6,held-out,1.0,4,400,550.7224677595595,550.7224677595595,550.7224677595595,0.0,25797917,25554300
6.5.2,6,held-out,1.0,5,500,550.7224677595595,550.7224677595595,550.7224677595595,0.0,25849802,25400170
6.5.2,6,held-out,1.0,6,600,550.7224677595595,550.7224677595595,550.7224677595595,0.0,25645691,25485023
6.5.2,6,held-out,1.0,7,700,550.7224677595595,550.7224677595595,550.7224677595595,0.0,25475274,25394706
6.5.2,6,held-out,1.0,8,800,550.7224677595595,550.7224677595595,550.7224677595595,0.0,25864888,25471411
6.5.2,6,held-out,1.0,9,900,550.7224677595595,550.7224677595595,550.7224677595595,0.0,25554548,25347162
6.5.2,6,held-out,1.0,10,1000,550.7224677595595,550.7224677595595,550.7224677595595,0.0,25705545,25505769
6.5.3,6,held-out,1.0,1,100,766.7833863800394,766.7833863800394,766.7833863800394,0.0,22043663,21774452
6.5.3,6,held-out,1.0,2,200,766.7833863800394,766.7833863800394,766.7833863800394,0.0,21968392,21754971
6.5.3,6,held-out,1.0,3,300,766.7833863800394,766.7833863800394,766.7833863800394,0.0,21940196,21817963
6.5.3,6,held-out,1.0,4,400,766.7833863800394,766.7833863800394,766.7833863800394,0.0,22089384,21751411
6.5.3,6,held-out,1.0,5,500,766.7833863800394,766.7833863800394,766.7833863800394,0.0,21870604,21844000
6.5.3,6,held-out,1.0,6,600,766.7833863800394,766.7833863800394,766.7833863800394,0.0,21314286,21874005
6.5.3,6,held-out,1.0,7,700,766.7833863800394,766.7833863800394,766.7833863800394,0.0,21917772,21884105
6.5.3,6,held-out,1.0,8,800,766.7833863800394,766.7833863800394,766.7833863800394,0.0,21402018,21849360
6.5.3,6,held-out,1.0,9,900,766.7833863800394,766.7833863800394,766.7833863800394,0.0,22064831,21851649
6.5.3,6,held-out,1.0,10,1000,766.7833863800394,766.7833863800394,766.7833863800394,0.0,21941459,21795290
6.5.4,6,held-out,1.0,1,100,579.9713227928262,579.9713227928262,579.9713227928262,0.0,23797703,23531838
6.5.4,6,held-out,1.0,2,200,579.9713227928262,579.9713227928262,579.9713227928262,0.0,23359558,23136172
6.5.4,6,held-out,1.0,3,300,579.9713227928262,579.9713227928262,579.9713227928262,0.0,23672217,23389112
6.5.4,6,held-out,1.0,4,400,579.9713227928262,579.9713227928262,579.9713227928262,0.0,23708220,23470637
6.5.4,6,held-out,1.0,5,500,579.9713227928262,579.9713227928262,579.9713227928262,0.0,23638778,23318050
6.5.4,6,held-out,1.0,6,600,579.9713227928262,579.9713227928262,579.9713227928262,0.0,23833995,23385642
6.5.4,6,held-out,1.0,7,700,579.9713227928262,579.9713227928262,579.9713227928262,0.0,23507086,23533098
6.5.4,6,held-out,1.0,8,800,579.9713227928262,579.9713227928262,579.9713227928262,0.0,23290051,23468345
6.5.4,6,held-out,1.0,9,900,579.9713227928262,579.9713227928262,579.9713227928262,0.0,23650318,23514151
6.5.4,6,held-out,1.0,10,1000,579.9713227928262,579.9713227928262,579.9713227928262,0.0,23934944,23565783
10.10.1,10,held-out,1.0,1,100,1735.950029753597,1735.950029753597,1735.950029753597,0.0,28442579,29841437
10.10.1,10,held-out,1.0,2,200,1735.950029753597,1735.950029753597,1735.950029753597,0.0,29540630,29906314
10.10.1,10,held-out,1.0,3,300,1735.950029753597,1735.950029753597,1735.950029753597,0.0,29084601,29908651
10.10.1,10,held-out,1.0,4,400,1735.950029753597,1735.950029753597,1735.950029753597,0.0,29342705,29935926
10.10.1,10,held-out,1.0,5,500,1735.950029753597,1735.950029753597,1735.950029753597,0.0,29167215,29170614
10.10.1,10,held-out,1.0,6,600,1735.950029753597,1735.950029753597,1735.950029753597,0.0,29103576,29635467
10.10.1,10,held-out,1.0,7,700,1735.950029753597,1735.950029753597,1735.950029753597,0.0,28915162,29811679
10.10.1,10,held-out,1.0,8,800,1735.950029753597,1735.950029753597,1735.950029753597,0.0,29349684,29926044
10.10.1,10,held-out,1.0,9,900,1735.950029753597,1735.950029753597,1735.950029753597,0.0,29683848,29826077
10.10.1,10,held-out,1.0,10,1000,1735.950029753597,1735.950029753597,1735.950029753597,0.0,28618995,28824830
10.10.2,10,held-out,1.0,1,100,2006.7277325718107,2006.7277325718107,2006.7277325718107,0.0,26357179,26926539
10.10.2,10,held-out,1.0,2,200,2006.7277325718107,2006.7277325718107,2006.7277325718107,0.0,27061619,26212074
10.10.2,10,held-out,1.0,3,300,2006.7277325718107,2006.7277325718107,2006.7277325718107,0.0,26263793,26952879
10.10.2,10,held-out,1.0,4,400,2006.7277325718107,2006.7277325718107,2006.7277325718107,0.0,26688810,27039553
10.10.2,10,held-out,1.0,5,500,2006.7277325718107,2006.7277325718107,2006.7277325718107,0.0,26861917,27089218
10.10.2,10,held-out,1.0,6,600,2006.7277325718107,2006.7277325718107,2006.7277325718107,0.0,26149327,26986707
10.10.2,10,held-out,1.0,7,700,2006.7277325718107,2006.7277325718107,2006.7277325718107,0.0,25685157,27032797
10.10.2,10,held-out,1.0,8,800,2006.7277325718107,2006.7277325718107,2006.7277325718107,0.0,26394574,26908728
