instance,n,set,Tn,run,seed,bks,ims-final,coop-final,ims-evals,coop-evals
10.10.2,10,held-out,0.04,5,500,2006.7277325718107,2006.7277325718107,,362574,
10.10.2,10,held-out,0.04,6,600,2006.7277325718107,2006.7277325718107,,200543,
10.10.2,10,held-out,0.04,7,700,2006.7277325718107,2006.7277325718107,,276410,
10.10.2,10,held-out,0.04,8,800,2006.7277325718107,2006.7277325718107,,395670,
10.10.2,10,held-out,0.04,9,900,2006.7277325718107,2006.7277325718107,,408633,
10.10.2,10,held-out,0.04,10,1000,2006.7277325718107,2006.7277325718107,,388510,
10.10.3,10,held-out,0.04,1,100,1818.1502668036478,1818.1502668036474,,475929,
10.10.3,10,held-out,0.04,2,200,1818.1502668036478,1818.1502668036474,,337043,
10.10.3,10,held-out,0.04,3,300,1818.1502668036478,1818.1502668036474,,426226,
10.10.3,10,held-out,0.04,4,400,1818.1502668036478,1818.1502668036474,,347625,
10.10.3,10,held-out,0.04,5,500,1818.1502668036478,1818.1502668036474,,467104,
10.10.3,10,held-out,0.04,6,600,1818.1502668036478,1818.1502668036474,,452385,
10.10.3,10,held-out,0.04,7,700,1818.1502668036478,1818.1502668036474,,453658,
10.10.3,10,held-out,0.04,8,800,1818.1502668036478,1818.1502668036474,,438484,
10.10.3,10,held-out,0.04,9,900,1818.1502668036478,1818.1502668036474,,458441,
10.10.3,10,held-out,0.04,10,1000,1818.1502668036478,1818.1502668036474,,447608,
10.10.4,10,held-out,0.04,1,100,1359.633305210052,1359.633305210052,,617171,
10.10.4,10,held-out,0.04,2,200,1359.633305210052,1359.633305210052,,219356,
10.10.4,10,held-out,0.04,3,300,1359.633305210052,1359.633305210052,,389646,
10.10.4,10,held-out,0.04,4,400,1359.633305210052,1359.633305210052,,437050,
10.10.4,10,held-out,0.04,5,500,1359.633305210052,1359.633305210052,,461182,
10.10.4,10,held-out,0.04,6,600,1359.633305210052,1359.633305210052,,227725,
10.10.4,10,held-out,0.04,7,700,1359.633305210052,1359.633305210052,,369344,
10.10.4,10,held-out,0.04,8,800,1359.633305210052,1359.633305210052,,331692,
10.10.4,10,held-out,0.04,9,900,1359.633305210052,1359.633305210052,,260932,
10.10.4,10,held-out,0.04,10,1000,1359.633305210052,1359.633305210052,,371717,
10.20.1,10,held-out,0.04,1,100,5738.066783105984,5738.066783105984,,570599,
10.20.1,10,held-out,0.04,2,200,5738.066783105984,5738.066783105984,,272326,
10.20.1,10,held-out,0.04,3,300,5738.066783105984,5738.066783105984,,368169,
10.20.1,10,held-out,0.04,4,400,5738.066783105984,5738.066783105984,,288176,
10.20.1,10,held-out,0.04,5,500,5738.066783105984,5738.066783105984,,662405,
10.20.1,10,held-out,0.04,6,600,5738.066783105984,5738.066783105984,,429396,
10.20.1,10,held-out,0.04,7,700,5738.066783105984,5738.066783105984,,533344,
10.20.1,10,held-out,0.04,8,800,5738.066783105984,5738.066783105984,,553074,
10.20.1,10,held-out,0.04,9,900,5738.066783105984,5738.066783105984,,425796,
10.20.1,10,held-out,0.04,10,1000,5738.066783105984,5738.066783105984,,541943,
10.20.2,10,held-out,0.04,1,100,6973.407432305421,6973.407432305421,,526753,
10.20.2,10,held-out,0.04,2,200,6973.407432305421,6973.407432305421,,940109,
10.20.2,10,held-out,0.04,3,300,6973.407432305421,6973.407432305421,,1507605,
10.20.2,10,held-out,0.04,4,400,6973.407432305421,6973.407432305421,,447408,
10.20.2,10,held-out,0.04,5,500,6973.407432305421,6973.407432305421,,564926,
10.20.2,10,held-out,0.04,6,600,6973.407432305421,6973.407432305421,,398197,
10.20.2,10,held-out,0.04,7,700,6973.407432305421,6973.407432305421,,358650,
10.20.2,10,held-out,0.04,8,800,6973.407432305421,6973.407432305421,,615776,
10.20.2,10,held-out,0.04,9,900,6973.407432305421,6973.407432305421,,329360,
10.20.2,10,held-out,0.04,10,1000,6973.407432305421,6973.407432305421,,556223,
10.20.3,10,held-out,0.04,1,100,6468.868414029823,6468.868414029823,,379379,
10.20.3,10,held-out,0.04,2,200,6468.868414029823,6468.868414029823,,936986,
10.20.3,10,held-out,0.04,3,300,6468.868414029823,6468.868414029823,,330670,
10.20.3,10,held-out,0.04,4,400,6468.868414029823,6468.868414029823,,425112,
10.20.3,10,held-out,0.04,5,500,6468.868414029823,6468.868414029823,,835232,
10.20.3,10,held-out,0.04,6,600,6468.868414029823,6468.868414029823,,440430,
10.20.3,10,held-out,0.04,7,700,6468.868414029823,6468.868414029823,,357805,
10.20.3,10,held-out,0.04,8,800,6468.868414029823,6468.868414029823,,602425,
10.20.3,10,held-out,0.04,9,900,6468.868414029823,6468.868414029823,,587577,
10.20.3,10,held-out,0.04,10,1000,6468.868414029823,6468.868414029823,,338734,
10.20.4,10,held-out,0.04,1,100,6469.04259277102,6469.04259277102,,493018,
10.20.4,10,held-out,0.04,2,200,6469.04259277102,6469.04259277102,,486936,
10.20.4,10,held-out,0.04,3,300,6469.04259277102,6469.04259277102,,337367,
10.20.4,10,held-out,0.04,4,400,6469.04259277102,6469.04259277102,,670309,
10.20.4,10,held-out,0.04,5,500,6469.04259277102,6469.04259277102,,439049,
10.20.4,10,held-out,0.04,6,600,6469.04259277102,6469.04259277102,,422812,
10.20.4,10,held-out,0.04,7,700,6469.04259277102,6469.04259277102,,858290,
10.20.4,10,held-out,0.04,8,800,6469.04259277102,6469.04259277102,,937074,
10.20.4,10,held-out,0.04,9,900,6469.04259277102,6469.04259277102,,339923,
10.20.4,10,held-out,0.04,10,1000,6469.04259277102,6469.04259277102,,381434,
10.5.1,10,held-out,0.04,1,100,1212.9464832192677,1212.9464832192677,,509248,
10.5.1,10,held-out,0.04,2,200,1212.9464832192677,1212.9464832192677,,347112,
10.5.1,10,held-out,0.04,3,300,1212.9464832192677,1212.9464832192677,,307563,
10.5.1,10,held-out,0.04,4,400,1212.9464832192677,1212.9464832192677,,406866,
10.5.1,10,held-out,0.04,5,500,1212.9464832192677,1212.9464832192677,,337807,
10.5.1,10,held-out,0.04,6,600,1212.9464832192677,1212.9464832192677,,436529,
10.5.1,10,held-out,0.04,7,700,1212.9464832192677,1212.9464832192677,,442318,
10.5.1,10,held-out,0.04,8,800,1212.9464832192677,1212.9464832192677,,437028,
10.5.1,10,held-out,0.04,9,900,1212.9464832192677,1212.9464832192677,,457323,
10.5.1,10,held-out,0.04,10,1000,1212.9464832192677,1212.9464832192677,,490978,
10.5.2,10,held-out,0.04,1,100,709.2037454135201,709.20374541352,,274849,
10.5.2,10,held-out,0.04,2,200,709.2037454135201,709.20374541352,,332588,
10.5.2,10,held-out,0.04,3,300,709.2037454135201,709.20374541352,,501044,
10.5.2,10,held-out,0.04,4,400,709.2037454135201,709.20374541352,,293704,
10.5.2,10,held-out,0.04,5,500,709.2037454135201,709.20374541352,,309680,
10.5.2,10,held-out,0.04,6,600,709.2037454135201,709.20374541352,,356373,
10.5.2,10,held-out,0.04,7,700,709.2037454135201,709.20374541352,,254732,
10.5.2,10,held-out,0.04,8,800,709.2037454135201,709.20374541352,,392890,
10.5.2,10,held-out,0.04,9,900,709.2037454135201,709.20374541352,,479890,
10.5.2,10,held-out,0.04,10,1000,709.2037454135201,709.20374541352,,507174,
10.5.3,10,held-out,0.04,1,100,775.6904789217117,775.6904789217117,,294000,
10.5.3,10,held-out,0.04,2,200,775.6904789217117,775.6904789217117,,294761,
10.5.3,10,held-out,0.04,3,300,775.6904789217117,775.6904789217117,,445013,
10.5.3,10,held-out,0.04,4,400,775.6904789217117,775.6904789217117,,257181,
10.5.3,10,held-out,0.04,5,500,775.6904789217117,775.6904789217117,,318836,
10.5.3,10,held-out,0.04,6,600,775.6904789217117,775.6904789217117,,299963,
10.5.3,10,held-out,0.04,7,700,775.6904789217117,775.6904789217117,,609209,
10.5.3,10,held-out,0.04,8,800,775.6904789217117,775.6904789217117,,356054,
10.5.3,10,held-out,0.04,9,900,775.6904789217117,775.6904789217117,,456747,
10.5.3,10,held-out,0.04,10,1000,775.6904789217117,775.6904789217117,,654159,
10.5.4,10,held-out,0.04,1,100,745.4251979411413,745.4251979411413,,328262,
10.5.4,10,held-out,0.04,2,200,745.4251979411413,745.4251979411413,,524268,
10.5.4,10,held-out,0.04,3,300,745.4251979411413,745.4251979411413,,417591,
10.5.4,10,held-out,0.04,4,400,745.4251979411413,745.4251979411413,,445156,
10.5.4,10,held-out,0.04,5,500,745.4251979411413,745.4251979411413,,466180,
10.5.4,10,held-out,0.04,6,600,745.4251979411413,745.4251979411413,,302781,
10.5.4,10,held-out,0.04,7,700,745.4251979411413,745.4251979411413,,348925,
10.5.4,10,held-out,0.04,8,800,745.4251979411413,745.4251979411413,,366953,
10.5.4,10,held-out,0.04,9,900,745.4251979411413,745.4251979411413,,761404,
10.5.4,10,held-out,0.04,10,1000,745.4251979411413,745.4251979411413,,271982,
12.10.1,12,held-out,0.06,1,100,1669.8569829807207,1669.8569829807202,,668329,
12.10.1,12,held-out,0.06,2,200,1669.8569829807207,1669.8569829807202,,763859,
12.10.1,12,held-out,0.06,3,300,1669.8569829807207,1669.8569829807204,,557177,
12.10.1,12,held-out,0.06,4,400,1669.8569829807207,1669.8569829807202,,601498,
12.10.1,12,held-out,0.06,5,500,1669.8569829807207,1669.8569829807202,,1416869,
12.10.1,12,held-out,0.06,6,600,1669.8569829807207,1669.8569829807202,,750867,
12.10.1,12,held-out,0.06,7,700,1669.8569829807207,1669.8569829807202,,739016,
12.10.1,12,held-out,0.06,8,800,1669.8569829807207,1669.8569829807202,,763473,
12.10.1,12,held-out,0.06,9,900,1669.8569829807207,1669.8569829807204,,609882,
12.10.1,12,held-out,0.06,10,1000,1669.8569829807207,1669.8569829807207,,1390206,
12.10.2,12,held-out,0.06,1,100,1670.91224105981,1670.9122410598097,,782135,
12.10.2,12,held-out,0.06,2,200,1670.91224105981,1670.9122410598097,,611063,
12.10.2,12,held-out,0.06,3,300,1670.91224105981,1670.9122410598097,,1232090,
12.10.2,12,held-out,0.06,4,400,1670.91224105981,1670.9122410598097,,774112,
12.10.2,12,held-out,0.06,5,500,1670.91224105981,1670.9122410598097,,663016,
12.10.2,12,held-out,0.06,6,600,1670.91224105981,1670.9122410598097,,883093,
12.10.2,12,held-out,0.06,7,700,1670.91224105981,1670.9122410598097,,619304,
12.10.2,12,held-out,0.06,8,800,1670.91224105981,1670.9122410598097,,682383,
12.10.2,12,held-out,0.06,9,900,1670.91224105981,1670.9122410598097,,692568,
12.10.2,12,held-out,0.06,10,1000,1670.91224105981,1670.9122410598097,,851882,
12.10.3,12,held-out,0.06,1,100,1788.491293002548,1788.4912930025478,,832607,
12.10.3,12,held-out,0.06,2,200,1788.491293002548,1788.4912930025478,,371409,
12.10.3,12,held-out,0.06,3,300,1788.491293002548,1788.4912930025478,,715722,
12.10.3,12,held-out,0.06,4,400,1788.491293002548,1788.4912930025478,,731277,
12.10.3,12,held-out,0.06,5,500,1788.491293002548,1788.4912930025478,,1217477,
12.10.3,12,held-out,0.06,6,600,1788.491293002548,1788.4912930025478,,410992,
12.10.3,12,held-out,0.06,7,700,1788.491293002548,1788.4912930025475,,676858,
12.10.3,12,held-out,0.06,8,800,1788.491293002548,1788.4912930025478,,1334678,
12.10.3,12,held-out,0.06,9,900,1788.491293002548,1788.4912930025478,,737789,
12.10.3,12,held-out,0.06,10,1000,1788.491293002548,1788.4912930025478,,847214,
12.10.4,12,held-out,0.06,1,100,1719.9583049917032,1719.958304991703,,729945,
12.10.4,12,held-out,0.06,2,200,1719.9583049917032,1719.958304991703,,745925,
12.10.4,12,held-out,0.06,3,300,1719.9583049917032,1719.958304991703,,459789,
12.10.4,12,held-out,0.06,4,400,1719.9583049917032,1719.958304991703,,766458,
12.10.4,12,held-out,0.06,5,500,1719.9583049917032,1719.958304991703,,440019,
12.10.4,12,held-out,0.06,6,600,1719.9583049917032,1719.958304991703,,664598,
12.10.4,12,held-out,0.06,7,700,1719.9583049917032,1719.958304991703,,447251,
12.10.4,12,held-out,0.06,8,800,1719.9583049917032,1719.958304991703,,502143,
12.10.4,12,held-out,0.06,9,900,1719.9583049917032,1719.958304991703,,727675,
12.10.4,12,held-out,0.06,10,1000,1719.9583049917032,1719.958304991703,,1089146,
12.20.1,12,held-out,0.06,1,100,8240.622101600888,8240.622101600888,,799691,
12.20.1,12,held-out,0.06,2,200,8240.622101600888,8240.622101600888,,1172265,
12.20.1,12,held-out,0.06,3,300,8240.622101600888,8240.622101600888,,553646,
12.20.1,12,held-out,0.06,4,400,8240.622101600888,8240.622101600888,,816035,
12.20.1,12,held-out,0.06,5,500,8240.622101600888,8240.622101600888,,494628,
12.20.1,12,held-out,0.06,6,600,8240.622101600888,8240.622101600888,,833726,
12.20.1,12,held-out,0.06,7,700,8240.622101600888,8240.622101600888,,672438,
12.20.1,12,held-out,0.06,8,800,8240.622101600888,8240.622101600888,,667003,
12.20.1,12,held-out,0.06,9,900,8240.622101600888,8240.622101600888,,1021852,
12.20.1,12,held-out,0.06,10,1000,8240.622101600888,8240.622101600888,,874591,
12.20.2,12,held-out,0.06,1,100,8615.090910921224,8615.090910921224,,1070247,
12.20.2,12,held-out,0.06,2,200,8615.090910921224,8615.090910921224,,1018511,
12.20.2,12,held-out,0.06,3,300,8615.090910921224,8615.090910921224,,735072,
12.20.2,12,held-out,0.06,4,400,8615.090910921224,8615.090910921224,,981876,
12.20.2,12,held-out,0.06,5,500,8615.090910921224,8615.090910921224,,2157892,
12.20.2,12,held-out,0.06,6,600,8615.090910921224,8615.090910921224,,798248,
12.20.2,12,held-out,0.06,7,700,8615.090910921224,8615.090910921224,,520768,
12.20.2,12,held-out,0.06,8,800,8615.090910921224,8615.090910921224,,635202,
12.20.2,12,held-out,0.06,9,900,8615.090910921224,8615.090910921224,,1001466,
12.20.2,12,held-out,0.06,10,1000,8615.090910921224,8615.090910921224,,775403,
12.20.3,12,held-out,0.06,1,100,5974.02974337627,5974.02974337627,,1142997,
12.20.3,12,held-out,0.06,2,200,5974.02974337627,5974.02974337627,,838881,
12.20.3,12,held-out,0.06,3,300,5974.02974337627,5974.02974337627,,912745,
12.20.3,12,held-out,0.06,4,400,5974.02974337627,5974.02974337627,,785633,
12.20.3,12,held-out,0.06,5,500,5974.02974337627,5974.02974337627,,451993,
12.20.3,12,held-out,0.06,6,600,5974.02974337627,5974.02974337627,,479232,
12.20.3,12,held-out,0.06,7,700,5974.02974337627,5974.02974337627,,724633,
12.20.3,12,held-out,0.06,8,800,5974.02974337627,5974.02974337627,,1106643,
12.20.3,12,held-out,0.06,9,900,5974.02974337627,5974.02974337627,,611396,
12.20.3,12,held-out,0.06,10,1000,5974.02974337627,5974.02974337627,,497542,
12.20.4,12,held-out,0.06,1,100,7417.996848485695,7417.9968484856945,,892663,
12.20.4,12,held-out,0.06,2,200,7417.996848485695,7417.9968484856945,,598939,
12.20.4,12,held-out,0.06,3,300,7417.996848485695,7417.9968484856945,,1261659,
12.20.4,12,held-out,0.06,4,400,7417.996848485695,7417.9968484856945,,1091794,
12.20.4,12,held-out,0.06,5,500,7417.996848485695,7417.9968484856945,,828774,
12.20.4,12,held-out,0.06,6,600,7417.996848485695,7417.9968484856945,,565966,
12.20.4,12,held-out,0.06,7,700,7417.996848485695,7417.9968484856945,,1106706,
12.20.4,12,held-out,0.06,8,800,7417.996848485695,7417.9968484856945,,570231,
12.20.4,12,held-out,0.06,9,900,7417.996848485695,7417.9968484856945,,968072,
12.20.4,12,held-out,0.06,10,1000,7417.996848485695,7417.9968484856945,,1177742,
12.5.1,12,held-out,0.06,1,100,722.7394361159835,722.7394361159835,,426450,
12.5.1,12,held-out,0.06,2,200,722.7394361159835,722.7394361159835,,648452,
12.5.1,12,held-out,0.06,3,300,722.7394361159835,722.7394361159835,,909672,
12.5.1,12,held-out,0.06,4,400,722.7394361159835,722.7394361159835,,687324,
12.5.1,12,held-out,0.06,5,500,722.7394361159835,722.7394361159835,,887756,
12.5.1,12,held-out,0.06,6,600,722.7394361159835,722.7394361159835,,731037,
12.5.1,12,held-out,0.06,7,700,722.7394361159835,722.7394361159835,,794776,
12.5.1,12,held-out,0.06,8,800,722.7394361159835,722.7394361159835,,450014,
12.5.1,12,held-out,0.06,9,900,722.7394361159835,722.7394361159835,,775317,
12.5.1,12,held-out,0.06,10,1000,722.7394361159835,722.7394361159835,,624838,
12.5.2,12,held-out,0.06,1,100,682.5606451824856,682.5606451824856,,655397,
12.5.2,12,held-out,0.06,2,200,682.5606451824856,682.5606451824856,,827325,
12.5.2,12,held-out,0.06,3,300,682.5606451824856,682.5606451824856,,1283971,
12.5.2,12,held-out,0.06,4,400,682.5606451824856,682.5606451824856,,1471567,
12.5.2,12,held-out,0.06,5,500,682.5606451824856,682.5606451824856,,821940,
12.5.2,12,held-out,0.06,6,600,682.5606451824856,682.5606451824856,,780367,
12.5.2,12,held-out,0.06,7,700,682.5606451824856,682.5606451824856,,612568,
12.5.2,12,held-out,0.06,8,800,682.5606451824856,682.5606451824856,,451867,
12.5.2,12,held-out,0.06,9,900,682.5606451824856,682.5606451824856,,424334,
12.5.2,12,held-out,0.06,10,1000,682.5606451824856,682.5606451824856,,783988,
12.5.3,12,held-out,0.06,1,100,1011.0698275268996,1011.0698275268996,,573823,
12.5.3,12,held-out,0.06,2,200,1011.0698275268996,1011.0698275268996,,550884,
12.5.3,12,held-out,0.06,3,300,1011.0698275268996,1011.0698275268996,,460489,
12.5.3,12,held-out,0.06,4,400,1011.0698275268996,1011.0698275268996,,1368944,
12.5.3,12,held-out,0.06,5,500,1011.0698275268996,1011.0698275268996,,796726,
12.5.3,12,held-out,0.06,6,600,1011.0698275268996,1011.0698275268996,,466957,
12.5.3,12,held-out,0.06,7,700,1011.0698275268996,1011.0698275268996,,1303564,
12.5.3,12,held-out,0.06,8,800,1011.0698275268996,1011.0698275268996,,673779,
12.5.3,12,held-out,0.06,9,900,1011.0698275268996,1011.0698275268996,,588812,
12.5.3,12,held-out,0.06,10,1000,1011.0698275268996,1011.0698275268996,,579711,
12.5.4,12,held-out,0.06,1,100,925.8220031419719,925.8220031419719,,748550,
12.5.4,12,held-out,0.06,2,200,925.8220031419719,925.8220031419719,,1173171,
12.5.4,12,held-out,0.06,3,300,925.8220031419719,925.8220031419719,,1069205,
12.5.4,12,held-out,0.06,4,400,925.8220031419719,925.8220031419719,,793314,
12.5.4,12,held-out,0.06,5,500,925.8220031419719,925.8220031419719,,437243,
12.5.4,12,held-out,0.06,6,600,925.8220031419719,925.8220031419719,,1292383,
12.5.4,12,held-out,0.06,7,700,925.8220031419719,925.8220031419719,,771236,
12.5.4,12,held-out,0.06,8,800,925.8220031419719,925.8220031419719,,772088,
12.5.4,12,held-out,0.06,9,900,925.8220031419719,925.8220031419719,,599353,
12.5.4,12,held-out,0.06,10,1000,925.8220031419719,925.8220031419719,,769005,
20.10.1,20,held-out,0.1,1,100,1190.6920375792722,1190.6920375792722,,1503547,
20.10.1,20,held-out,0.1,2,200,1190.6920375792722,1190.6920375792722,,1628678,
20.10.1,20,held-out,0.1,3,300,1190.6920375792722,1190.6920375792722,,2780770,
20.10.1,20,held-out,0.1,4,400,1190.6920375792722,1190.6920375792722,,2113049,
20.10.1,20,held-out,0.1,5,500,1190.6920375792722,1190.6920375792722,,2501263,
20.10.1,20,held-out,0.1,6,600,1190.6920375792722,1190.6920375792722,,1927079,
20.10.1,20,held-out,0.1,7,700,1190.6920375792722,1190.6920375792722,,1397672,
20.10.1,20,held-out,0.1,8,800,1190.6920375792722,1190.6920375792722,,1432468,
20.10.1,20,held-out,0.1,9,900,1190.6920375792722,1190.6920375792722,,2513626,
20.10.1,20,held-out,0.1,10,1000,1190.6920375792722,1190.6920375792722,,2283930,
20.10.2,20,held-out,0.1,1,100,1254.6043475032363,1254.6043475032363,,1314053,
20.10.2,20,held-out,0.1,2,200,1254.6043475032363,1254.6043475032363,,1978306,
20.10.2,20,held-out,0.1,3,300,1254.6043475032363,1254.6043475032363,,1666072,
20.10.2,20,held-out,0.1,4,400,1254.6043475032363,1254.6043475032363,,1462423,
20.10.2,20,held-out,0.1,5,500,1254.6043475032363,1254.6043475032363,,2104000,
