n,instance,pull_strategy,accept_strategy,run,final_cost,rpd_pct,pull_accept_count,pull_offer_count,accept_rate_pct
500,500.40.1,random,selective,3,14101.626170323332,-0.2860606831579196,43,44,97.72727272727273
500,500.40.1,topk,always,1,14085.577024754022,-0.39954571729910243,45,45,100.0
500,500.40.1,topk,always,2,14017.324226529312,-0.8821677424600043,51,51,100.0
500,500.40.1,topk,always,3,14031.106550014087,-0.7847116227893466,39,39,100.0
500,500.40.1,topk,selective,1,14073.868397072694,-0.48233853679366856,44,45,97.77777777777777
500,500.40.1,topk,selective,2,14094.64389617983,-0.335433007443746,53,53,100.0
500,500.40.1,topk,selective,3,14058.129846630161,-0.5936273232645837,38,38,100.0
500,500.40.1,rank,always,1,14052.69383013737,-0.6320659126967911,43,43,100.0
500,500.40.1,rank,always,2,14031.3240151932,-0.7831739058330347,52,52,100.0
500,500.40.1,rank,always,3,14042.714932077524,-0.7026276495894107,41,41,100.0
500,500.40.1,rank,selective,1,14139.488933336674,-0.01832948621088426,53,53,100.0
500,500.40.1,rank,selective,2,14017.889804170602,-0.8781684891879814,49,51,96.07843137254902
500,500.40.1,rank,selective,3,14080.964671300571,-0.43216010707303587,43,43,100.0
500,500.40.1,pullcount,always,1,14080.40420564598,-0.4361232130011084,48,48,100.0
500,500.40.1,pullcount,always,2,14106.444401279243,-0.2519905139909556,54,54,100.0
500,500.40.1,pullcount,always,3,14095.515472075203,-0.32927001142530427,40,40,100.0
500,500.40.1,pullcount,selective,1,14087.043533545555,-0.38917589421059545,48,49,97.95918367346938
500,500.40.1,pullcount,selective,2,14077.240345476284,-0.45849516905479787,53,54,98.14814814814815
500,500.40.1,pullcount,selective,3,14039.003537689994,-0.7288712721524506,37,37,100.0
