n,instance,tolerance,run,final_cost,final_rpd_pct,pull_offer_count,pull_accept_count,ar_pct
500,500.40.1,1,3,14051.837702299079,-0.6381196740349333,44,21,47.72727272727273
500,500.40.1,1,4,14115.647490915939,-0.18691459221590573,46,24,52.17391304347826
500,500.40.1,1,5,14096.065468436329,-0.3253809348666611,42,22,52.38095238095239
500,500.40.1,1,6,14138.90276927199,-0.02247430803991366,49,17,34.69387755102041
500,500.40.1,1,7,14051.17690177706,-0.6427922573495992,45,25,55.55555555555556
500,500.40.1,1,8,14050.845512284326,-0.6451355439585064,40,30,75.0
500,500.40.1,1,9,14100.160750920903,-0.29642280307250857,48,22,45.83333333333333
500,500.40.1,1,10,14052.222838635,-0.6353963383880459,42,14,33.33333333333333
500,500.40.1,2,1,14078.114186363287,-0.45231615706520373,52,37,71.15384615384616
500,500.40.1,2,2,13978.513440658728,-1.1566024991608101,46,27,58.69565217391305
500,500.40.1,2,3,14058.433203541495,-0.5914822577038636,43,32,74.4186046511628
500,500.40.1,2,4,14128.512430579487,-0.09594538076243862,49,29,59.183673469387756
500,500.40.1,2,5,14118.031574500717,-0.17005651052890228,45,34,75.55555555555556
500,500.40.1,2,6,14098.552163993727,-0.3077972741657649,49,36,73.46938775510205
500,500.40.1,2,7,14062.984827463493,-0.5592972922204984,47,30,63.829787234042556
500,500.40.1,2,8,14050.845512284326,-0.6451355439585064,40,30,75.0
500,500.40.1,2,9,14195.549665664323,0.3780812818706773,50,40,80.0
500,500.40.1,2,10,14015.852206235337,-0.8925765379062702,43,19,44.18604651162791
