n,instance,pool_set,pool_size,strategy,run,final_cost,final_rpd_pct,pull_accept_count,pull_offer_count,ar_pct,pull_round_improved_count,er_pct,pool_diversity
200,200.10.2,po3,4,td-crowding,6,1465.1455284105027,0.2174321443904036,33,53,62.264150943396224,24,72.72727272727273,0.5880427233304651
200,200.10.2,po3,4,td-crowding,7,1443.2848845719598,-1.2778579466209816,32,57,56.14035087719298,26,81.25,0.5391153524622446
200,200.10.2,po3,4,td-crowding,8,1457.5062307083242,-0.30510352476557534,21,58,36.206896551724135,18,85.71428571428571,0.5266502789120531
200,200.10.2,po3,4,td-crowding,9,1456.3855374489358,-0.3817600742342686,37,57,64.91228070175438,25,67.56756756756756,0.5940774587109298
200,200.10.2,po3,4,td-crowding,10,1475.149280920144,0.9016989075780145,26,58,44.827586206896555,19,73.07692307692307,0.5897573693092207
200,200.10.2,po3,4,edge-crowding,1,1441.6999526124162,-1.3862688914923462,23,57,40.35087719298245,21,91.30434782608695,0.5172927916955898
200,200.10.2,po3,4,edge-crowding,2,1457.8587917179518,-0.2809879960525717,31,59,52.54237288135594,26,83.87096774193549,0.5016168118266148
200,200.10.2,po3,4,edge-crowding,3,1441.6999526124157,-1.3862688914923775,19,54,35.18518518518518,18,94.73684210526315,0.5638013188481937
200,200.10.2,po3,4,edge-crowding,4,1443.4769853178607,-1.264718061815069,21,54,38.88888888888889,18,85.71428571428571,0.5734780178483395
200,200.10.2,po3,4,edge-crowding,5,1462.8673717727847,0.0616039322246925,21,57,36.84210526315789,13,61.904761904761905,0.595670042745356
200,200.10.2,po3,4,edge-crowding,6,1444.1649171843562,-1.2176628281788069,37,53,69.81132075471697,28,75.67567567567568,0.558101655828028
200,200.10.2,po3,4,edge-crowding,7,1452.96003456815,-0.6160679268391928,27,58,46.55172413793103,21,77.77777777777779,0.5211083661141341
200,200.10.2,po3,4,edge-crowding,8,1447.4962935403507,-0.9897933248220284,24,58,41.37931034482759,19,79.16666666666666,0.5565895359497718
200,200.10.2,po3,4,edge-crowding,9,1459.126030442043,-0.19430758896691666,23,59,38.983050847457626,16,69.56521739130434,0.5381284345126282
200,200.10.2,po3,4,edge-crowding,10,1475.149280920144,0.9016989075780145,25,58,43.103448275862064,19,76.0,0.5791576471680346
200,200.10.2,po3,4,random-target,1,1470.344987530216,0.573080393259376,20,63,31.746031746031743,13,65.0,0.0
200,200.10.2,po3,4,random-target,2,1447.8738829564772,-0.963965827856487,33,59,55.932203389830505,24,72.72727272727273,0.15100234542306137
200,200.10.2,po3,4,random-target,3,1441.6999526124162,-1.3862688914923462,39,55,70.9090909090909,21,53.84615384615385,0.08789143837981699
200,200.10.2,po3,4,random-target,4,1452.1661514769396,-0.670370331126815,38,57,66.66666666666666,32,84.21052631578947,0.0
200,200.10.2,po3,4,random-target,5,1463.2363820844264,0.08684460978909003,27,55,49.09090909090909,19,70.37037037037037,0.0
200,200.10.2,po3,4,random-target,6,1467.229982921396,0.36001093567958026,29,54,53.70370370370371,21,72.41379310344827,0.11491606734960182
200,200.10.2,po3,4,random-target,7,1441.6999526124157,-1.3862688914923775,28,57,49.122807017543856,22,78.57142857142857,0.10049259673586558
200,200.10.2,po3,4,random-target,8,1455.8169841479562,-0.42064969356321497,26,57,45.614035087719294,19,73.07692307692307,0.008816446608682128
200,200.10.2,po3,4,random-target,9,1463.4743646047177,0.10312285424766005,31,58,53.44827586206896,18,58.06451612903226,0.01142890818375465
200,200.10.2,po3,4,random-target,10,1471.3589190045814,0.6424343289339486,25,59,42.3728813559322,19,76.0,0.1005478312309569
200,200.40.1,po1,2,quality-only,1,9420.753282369566,-0.44009891940273704,12,53,22.641509433962266,12,100.0,0.0
200,200.40.1,po1,2,quality-only,2,9364.784352544837,-1.0315867707367756,27,50,54.0,27,100.0,0.0
200,200.40.1,po1,2,quality-only,3,9447.803910291117,-0.15422391988674197,30,47,63.829787234042556,23,76.66666666666667,0.0
200,200.40.1,po1,2,quality-only,4,9389.55574911978,-0.769799022060142,26,43,60.46511627906976,25,96.15384615384616,0.0
200,200.40.1,po1,2,quality-only,5,9396.015750769508,-0.7015287780626646,34,48,70.83333333333334,27,79.41176470588235,0.0
200,200.40.1,po1,2,quality-only,6,9419.370544018897,-0.4547119009007828,31,47,65.95744680851064,26,83.87096774193549,0.0
200,200.40.1,po1,2,quality-only,7,9446.237310277316,-0.1707799783814229,18,47,38.297872340425535,17,94.44444444444444,0.0
200,200.40.1,po1,2,quality-only,8,9445.281959803977,-0.18087626216808955,23,47,48.93617021276596,16,69.56521739130434,0.0
200,200.40.1,po1,2,quality-only,9,9391.956377780947,-0.7444288266125688,23,48,47.91666666666667,16,69.56521739130434,0.0
200,200.40.1,po1,2,quality-only,10,9443.52741360457,-0.1994185634914021,26,51,50.98039215686274,25,96.15384615384616,0.0
200,200.40.1,po1,2,td-crowding,1,9434.157345605716,-0.2984428150690584,21,47,44.680851063829785,16,76.19047619047619,0.5166631785263438
200,200.40.1,po1,2,td-crowding,2,9356.139167384128,-1.1229503542661743,23,51,45.09803921568628,21,91.30434782608695,0.48737891793178006
200,200.40.1,po1,2,td-crowding,3,9444.00017702554,-0.19442233038609266,21,50,42.0,17,80.95238095238095,0.5121901493778873
200,200.40.1,po1,2,td-crowding,4,9422.943958796088,-0.41694752993451684,28,43,65.11627906976744,26,92.85714285714286,0.5281769456673854
200,200.40.1,po1,2,td-crowding,5,9338.796909307217,-1.306225878727969,34,47,72.3404255319149,30,88.23529411764706,0.5713625906077577
200,200.40.1,po1,2,td-crowding,6,9464.311255378048,0.02022812175984586,25,43,58.139534883720934,18,72.0,0.5402873773663611
200,200.40.1,po1,2,td-crowding,7,9397.430679156365,-0.6865756075454748,20,45,44.44444444444444,15,75.0,0.5620390787432559
200,200.40.1,po1,2,td-crowding,8,9423.377086103603,-0.41237017708395496,24,44,54.54545454545454,21,87.5,0.5451839373932108
200,200.40.1,po1,2,td-crowding,9,9407.572290950782,-0.5793975680844906,36,49,73.46938775510205,23,63.888888888888886,0.5127901485709199
200,200.40.1,po1,2,td-crowding,10,9463.41749217462,0.01078270126578097,29,48,60.416666666666664,25,86.20689655172413,0.5100100612413092
200,200.40.1,po1,2,edge-crowding,1,9387.550191066293,-0.7909940534373219,25,49,51.02040816326531,21,84.0,0.532528624436488
200,200.40.1,po1,2,edge-crowding,2,9356.139167384128,-1.1229503542661743,24,51,47.05882352941176,21,87.5,0.47300371564157273
200,200.40.1,po1,2,edge-crowding,3,9449.61440835806,-0.13509031102885904,18,51,35.294117647058826,17,94.44444444444444,0.47037395617757727
200,200.40.1,po1,2,edge-crowding,4,9426.125014520545,-0.38332966692864495,25,47,53.191489361702125,22,88.0,0.5627489543530962
200,200.40.1,po1,2,edge-crowding,5,9396.850195784118,-0.6927102408797305,33,47,70.2127659574468,26,78.78787878787878,0.5237920729265151
200,200.40.1,po1,2,edge-crowding,6,9423.2485095257,-0.41372899319914413,29,45,64.44444444444444,23,79.3103448275862,0.5275208422162159
200,200.40.1,po1,2,edge-crowding,7,9407.022383439142,-0.585209071243676,28,42,66.66666666666666,21,75.0,0.514303654049511
200,200.40.1,po1,2,edge-crowding,8,9421.694672857422,-0.4301501667881649,16,44,36.36363636363637,9,56.25,0.5518424261555431
200,200.40.1,po1,2,edge-crowding,9,9372.803250420733,-0.9468418830011298,19,47,40.42553191489361,18,94.73684210526315,0.5634941110558944
200,200.40.1,po1,2,edge-crowding,10,9462.317829658245,-0.0008386933372653148,21,50,42.0,15,71.42857142857143,0.4759596465495691
200,200.40.1,po1,2,random-target,1,9420.350808064477,-0.44435232683217213,21,54,38.88888888888889,17,80.95238095238095,0.0
200,200.40.1,po1,2,random-target,2,9369.09908261662,-0.9859880711147292,22,51,43.13725490196079,22,100.0,0.0
200,200.40.1,po1,2,random-target,3,9453.755265394182,-0.091329127124732,26,50,52.0,19,73.07692307692307,0.0
200,200.40.1,po1,2,random-target,4,9415.691260853007,-0.4935951045113681,19,48,39.58333333333333,16,84.21052631578947,0.0
200,200.40.1,po1,2,random-target,5,9369.42488808867,-0.9825449111468827,23,46,50.0,23,100.0,0.0
200,200.40.1,po1,2,random-target,6,9415.993606918026,-0.4903998669944629,30,48,62.5,24,80.0,0.2998747280628672
200,200.40.1,po1,2,random-target,7,9442.926175377572,-0.20577253717181282,17,47,36.17021276595745,12,70.58823529411765,0.0
